ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
7202651,01/01/2005 01:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1622.0,16.0,45.0,,
6001318,01/01/2005 01:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1421.0,14.0,26.0,,
5634361,01/01/2005 01:00:00 AM,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,False,False,913.0,9.0,11.0,,
5990207,01/01/2005 01:00:00 AM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,False,True,332.0,3.0,5.0,,
5994585,01/01/2005 01:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,822.0,8.0,14.0,,
6780602,01/01/2005 01:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,False,False,1133.0,11.0,24.0,,
11107266,01/01/2005 01:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,True,723.0,7.0,16.0,,
9837817,01/01/2005 01:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,True,2523.0,25.0,31.0,,
8036993,01/01/2005 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,2223.0,22.0,21.0,,
7219527,01/01/2005 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,False,False,1332.0,12.0,2.0,,
3730912,01/01/2005 01:15:00 AM,BATTERY,SIMPLE,False,False,1611.0,16.0,41.0,42.000246066,-87.797124721
3794907,01/01/2005 01:20:00 PM,NARCOTICS,POSS: CRACK,True,False,313.0,3.0,20.0,41.781088661,-87.614429949
4799840,01/01/2005 01:24:00 PM,ASSAULT,SIMPLE,False,False,724.0,7.0,17.0,,
8832168,01/01/2005 02:00:00 PM,CRIM SEXUAL ASSAULT,PREDATORY,True,False,1733.0,17.0,33.0,,
7867397,01/01/2005 03:00:00 PM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,True,911.0,9.0,12.0,,
5803652,01/01/2005 03:00:00 PM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,815.0,8.0,14.0,,
3731285,01/01/2005 03:00:00 AM,BURGLARY,FORCIBLE ENTRY,False,False,2535.0,25.0,26.0,41.907537986,-87.716724153
8110065,01/01/2005 03:00:00 PM,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,False,False,334.0,3.0,7.0,,
3734431,01/01/2005 03:50:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,False,True,621.0,6.0,17.0,41.75568028,-87.640507739
3731979,01/01/2005 04:00:00 PM,ROBBERY,ARMED: HANDGUN,False,True,522.0,5.0,34.0,,
6463913,01/01/2005 04:00:00 PM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,False,True,1413.0,14.0,26.0,,
5705413,01/01/2005 04:00:00 PM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,False,False,1122.0,11.0,27.0,,
3756909,01/01/2005 04:00:00 AM,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,True,True,1413.0,14.0,26.0,41.919181037,-87.710994021
3735096,01/01/2005 04:15:00 AM,BATTERY,SIMPLE,False,False,715.0,7.0,15.0,41.79329893,-87.66456619
3730454,01/01/2005 04:40:00 AM,BATTERY,SIMPLE,False,False,813.0,8.0,13.0,41.77818532,-87.754917233
3732069,01/01/2005 05:00:00 PM,BURGLARY,UNLAWFUL ENTRY,True,False,413.0,4.0,7.0,41.725231231,-87.566888562
7757214,01/01/2005 05:06:00 PM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,2412.0,24.0,50.0,,
3732008,01/01/2005 05:40:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,False,False,1531.0,15.0,37.0,41.896785111,-87.751244093
11963414,01/01/2005 06:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,323.0,3.0,6.0,,
4827946,01/01/2005 06:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1434.0,14.0,1.0,,
