ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
6820418,01/01/2003 01:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1222.0,12.0,25.0,,
7916992,01/01/2003 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,True,1511.0,15.0,29.0,,
9088700,01/01/2003 01:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,False,False,2211.0,22.0,19.0,,
8240929,01/01/2003 01:11:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,False,False,2512.0,25.0,36.0,,
2538132,01/01/2003 01:55:00 PM,NARCOTICS,POSS: HEROIN(WHITE),True,False,324.0,3.0,5.0,41.761720809,-87.598166867
2525729,01/01/2003 02:00:00 AM,BATTERY,SIMPLE,False,False,1612.0,16.0,41.0,42.002383016,-87.817312528
2538109,01/01/2003 02:10:00 PM,NARCOTICS,POSS: HEROIN(WHITE),True,False,1311.0,12.0,26.0,,
7177384,01/01/2003 03:00:00 PM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1332.0,12.0,2.0,,
11423838,01/01/2003 03:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,True,True,1234.0,12.0,25.0,,
2523012,01/01/2003 03:45:00 AM,BATTERY,SIMPLE,False,False,2212.0,22.0,19.0,41.691204306,-87.681141443
7896855,01/01/2003 04:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,913.0,9.0,12.0,,
2523977,01/01/2003 04:30:00 PM,BATTERY,SIMPLE,False,False,2422.0,24.0,49.0,42.017676014,-87.665569188
2524719,01/01/2003 04:33:49 PM,BATTERY,SIMPLE,False,False,222.0,2.0,3.0,41.811749784,-87.613874449
6789132,01/01/2003 05:00:00 PM,CRIM SEXUAL ASSAULT,PREDATORY,False,True,412.0,4.0,8.0,,
6534091,01/01/2003 05:00:00 PM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,False,1133.0,11.0,28.0,,
6116218,01/01/2003 05:00:00 PM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,False,True,933.0,9.0,20.0,,
9810092,01/01/2003 06:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,2212.0,22.0,19.0,,
7568673,01/01/2003 07:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,823.0,8.0,15.0,,
2530436,01/01/2003 07:00:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,True,True,1532.0,15.0,28.0,41.887907597,-87.746414499
2537880,01/01/2003 07:10:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,True,False,1231.0,12.0,2.0,41.865095781,-87.665257606
7641644,01/01/2003 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,833.0,8.0,13.0,,
9099975,01/01/2003 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1713.0,17.0,39.0,,
5658336,01/01/2003 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,815.0,8.0,23.0,,
8007774,01/01/2003 08:00:00 PM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,False,True,2124.0,2.0,4.0,,
2524862,01/01/2003 08:00:00 PM,THEFT,OVER $500,False,False,1932.0,19.0,44.0,41.935435295,-87.650208859
7120052,01/01/2003 08:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,1121.0,11.0,27.0,,
6751367,01/01/2003 08:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,2012.0,20.0,40.0,,
7931931,01/01/2003 08:00:00 AM,THEFT,$500 AND UNDER,False,False,1134.0,11.0,28.0,,
2991375,01/01/2003 08:00:00 AM,THEFT,FROM BUILDING,False,False,1834.0,18.0,42.0,,
2926526,01/01/2003 08:00:00 AM,THEFT,FROM BUILDING,False,False,1911.0,19.0,47.0,,
2573263,01/01/2003 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,834.0,8.0,13.0,41.751641696,-87.730227859
7288660,01/01/2003 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1031.0,10.0,22.0,,
10726479,01/01/2003 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1622.0,16.0,45.0,,
6872954,01/01/2003 08:00:00 PM,DECEPTIVE PRACTICE,FORGERY,False,False,1713.0,17.0,33.0,,
11628213,01/01/2003 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1212.0,12.0,32.0,,
6116945,01/01/2003 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,815.0,8.0,23.0,,
9516339,01/01/2003 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,True,False,913.0,9.0,11.0,,
7874277,01/01/2003 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,924.0,9.0,11.0,,
7317784,01/01/2003 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,833.0,8.0,18.0,,
5100309,01/01/2003 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,825.0,8.0,15.0,,
7385156,01/01/2003 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,True,False,2521.0,25.0,31.0,,
6378352,01/01/2003 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1411.0,14.0,35.0,,
6021360,01/01/2003 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2515.0,25.0,37.0,,
