ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12616413,01/01/2006 01:00:00 PM,CRIMINAL SEXUAL ASSAULT,PREDATORY,False,False,923.0,9.0,14.0,,
6695391,01/01/2006 01:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,False,False,533.0,5.0,9.0,,
8992344,01/01/2006 01:00:00 AM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,False,False,1131.0,11.0,24.0,,
11799514,01/01/2006 01:00:00 PM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,False,True,1411.0,14.0,32.0,,
6232886,01/01/2006 01:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,831.0,8.0,15.0,,
6570297,01/01/2006 01:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,912.0,9.0,12.0,,
9030738,01/01/2006 01:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,821.0,8.0,14.0,,
11799504,01/01/2006 01:00:00 PM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,True,True,1411.0,14.0,32.0,,
6275887,01/01/2006 01:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1324.0,12.0,27.0,,
7569147,01/01/2006 01:00:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,False,False,823.0,8.0,15.0,,
11799502,01/01/2006 01:00:00 PM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,True,True,1411.0,14.0,32.0,,
6758728,01/01/2006 01:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,834.0,8.0,18.0,,
4514615,01/01/2006 01:30:00 AM,BATTERY,SIMPLE,False,False,512.0,5.0,34.0,41.701591765,-87.631780078
4512658,01/01/2006 01:31:05 AM,BATTERY,DOMESTIC BATTERY SIMPLE,True,True,612.0,6.0,21.0,41.747852049,-87.65730589
10510005,01/01/2006 02:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,112.0,1.0,42.0,,
11561453,01/01/2006 02:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,1014.0,10.0,24.0,,
4512570,01/01/2006 02:18:00 AM,BATTERY,SIMPLE,True,False,313.0,3.0,20.0,41.780415657,-87.605608794
4513396,01/01/2006 02:20:00 AM,BATTERY,SIMPLE,False,False,1423.0,14.0,26.0,41.904765246,-87.6954298
4513040,01/01/2006 02:30:00 AM,CRIMINAL DAMAGE,TO PROPERTY,False,False,2022.0,20.0,48.0,41.988341219,-87.65676102
4518649,01/01/2006 02:45:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,False,True,2521.0,25.0,31.0,41.929531197,-87.745151117
8541714,01/01/2006 03:00:00 PM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,False,False,312.0,3.0,20.0,,
9540027,01/01/2006 03:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,2212.0,22.0,19.0,,
7111804,01/01/2006 03:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1322.0,12.0,1.0,,
4516644,01/01/2006 03:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,False,True,1422.0,14.0,26.0,41.904655241,-87.707858346
4526472,01/01/2006 03:15:00 AM,CRIMINAL DAMAGE,TO VEHICLE,False,False,2523.0,25.0,30.0,41.931831855,-87.723770522
4512472,01/01/2006 03:25:00 AM,BATTERY,SIMPLE,False,False,324.0,3.0,5.0,41.764293212,-87.58010338
10084118,01/01/2006 03:30:00 PM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,False,False,1723.0,17.0,39.0,,
7552534,01/01/2006 04:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2514.0,25.0,30.0,,
8507352,01/01/2006 04:00:00 PM,CRIM SEXUAL ASSAULT,PREDATORY,False,False,631.0,6.0,6.0,,
10554228,01/01/2006 04:25:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,1424.0,14.0,1.0,,
6569380,01/01/2006 05:00:00 PM,CRIM SEXUAL ASSAULT,PREDATORY,False,False,1133.0,11.0,28.0,,
6854064,01/01/2006 06:00:00 AM,DECEPTIVE PRACTICE,EMBEZZLEMENT,False,False,1431.0,14.0,1.0,,
7596207,01/01/2006 06:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1115.0,11.0,28.0,,
6697082,01/01/2006 06:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1531.0,15.0,37.0,,
4539567,01/01/2006 06:08:00 AM,THEFT,$500 AND UNDER,False,False,1712.0,17.0,39.0,41.972618805,-87.733086449
4519832,01/01/2006 06:30:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,False,True,735.0,7.0,17.0,41.760271621,-87.672199411
4513624,01/01/2006 06:47:54 PM,PUBLIC PEACE VIOLATION,BOMB THREAT,False,False,2422.0,24.0,49.0,42.017676014,-87.665569188
7012619,01/01/2006 07:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,834.0,8.0,18.0,,
11894415,01/01/2006 07:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,True,True,833.0,8.0,13.0,,
10879809,01/01/2006 07:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,2213.0,22.0,19.0,,
5969376,01/01/2006 07:00:00 AM,DECEPTIVE PRACTICE,EMBEZZLEMENT,False,False,925.0,9.0,11.0,,
7457862,01/01/2006 07:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,1233.0,12.0,25.0,,
4569950,01/01/2006 07:25:33 PM,NARCOTICS,POSS: HEROIN(WHITE),True,False,1022.0,10.0,24.0,41.859809525,-87.705483628
9262833,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1032.0,10.0,22.0,,
6767112,01/01/2006 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,914.0,9.0,20.0,,
6991730,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1732.0,17.0,35.0,,
9965081,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,2522.0,25.0,31.0,,
6938350,01/01/2006 08:00:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,False,False,2212.0,22.0,19.0,,
8269152,01/01/2006 08:00:00 AM,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,False,False,2123.0,2.0,4.0,,
6764341,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,True,False,2031.0,20.0,40.0,,
7341198,01/01/2006 08:00:00 PM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,False,False,1134.0,11.0,24.0,,
6162456,01/01/2006 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1412.0,14.0,35.0,,
10287645,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,432.0,4.0,10.0,,
6783838,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,True,False,2515.0,25.0,30.0,,
8039193,01/01/2006 08:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,134.0,1.0,3.0,,
10400010,01/01/2006 08:00:00 AM,THEFT,$500 AND UNDER,False,False,424.0,4.0,10.0,,
6147548,01/01/2006 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1531.0,15.0,37.0,,
7394879,01/01/2006 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,312.0,3.0,20.0,,
8575045,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,921.0,9.0,14.0,,
12282175,01/01/2006 08:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,False,True,1112.0,11.0,37.0,,
6527679,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1732.0,17.0,35.0,,
6336786,01/01/2006 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2525.0,25.0,26.0,,
9170811,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1433.0,14.0,32.0,,
8542893,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1032.0,10.0,22.0,,
7282470,01/01/2006 08:00:00 AM,THEFT,OVER $500,False,False,222.0,2.0,4.0,,
6764312,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,True,False,2031.0,20.0,40.0,,
9574982,01/01/2006 08:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,2523.0,25.0,30.0,,
6187336,01/01/2006 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,933.0,9.0,16.0,,
13104602,01/01/2006 08:00:00 PM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,False,True,1624.0,16.0,45.0,,
7896328,01/01/2006 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1523.0,15.0,28.0,,
7224264,01/01/2006 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,2525.0,25.0,35.0,,
